SARS2_A549	SARS2_A549_ACE2	SARS2_Calu3
GO:2000705	GO:0043687	GO:1902523
GO:0010730	GO:0090305	GO:2000630
GO:0034447	GO:0045944	GO:0051882
GO:1902951	GO:0045595	GO:0071224
GO:0046069	GO:0016070	GO:0070431
GO:0060019	GO:0051254	GO:0070427
GO:0006564	GO:0090304	GO:0042699
GO:0010728	GO:0006139	GO:1904417
GO:0010727	GO:0006725	GO:1904415
GO:0034371	GO:0046483	GO:0071550
GO:0045741	GO:0044260	GO:0007252
GO:0006563	GO:0043170	GO:0032727
GO:0019934	GO:0006807	GO:0001554
GO:0034350	GO:0044238	GO:0072734
GO:1905564	GO:0008152	GO:0072733
GO:2000273	GO:0044237	GO:0002732
GO:1905562		GO:0002730
GO:0035994		GO:0071225
GO:0043116		GO:0071223
GO:0009070		GO:0070391
GO:1902931		GO:0035666
GO:0001702		GO:0032495
GO:0043534		GO:0070423
GO:1902895		GO:0007249
GO:1902893		GO:0032695
GO:2001240		GO:0031663
GO:1901099		GO:0035872
GO:1902894		GO:0032743
GO:0001941		GO:0002756
GO:0038128		GO:0032647
GO:0050982		GO:0050862
GO:0010894		GO:0033209
GO:0007176		GO:0032494
GO:0043114		GO:0062099
GO:0045939		GO:0034393
GO:0035019		GO:0060546
GO:0061098		GO:0038061
GO:0019935		GO:0043330
GO:0043536		GO:0070498
GO:0050848		GO:0002753
GO:0002433		GO:0035994
GO:0038096		GO:0002726
GO:0002431		GO:0070231
GO:0038094		GO:0060547
GO:0002862		GO:0010661
GO:0007173		GO:0043331
GO:2000649		GO:0032663
GO:0010611		GO:0002223
GO:0030168		GO:0002220
GO:0002861		GO:1990858
GO:0014743		GO:1990840
GO:0038127		GO:0002758
GO:2000379		GO:0032735
GO:0007613		GO:0032655
GO:2001259		GO:0050857
GO:0051055		GO:0034391
GO:0048013		GO:0002724
GO:0051282		GO:0010803
GO:0007416		GO:0002720
GO:0006970		GO:0002218
GO:1904377		GO:0007250
GO:0043502		GO:0031293
GO:0009612		GO:0032731
GO:0099173		GO:0038095
GO:0014068		GO:0071260
GO:1902305		GO:0051092
GO:0061041		GO:0071887
GO:0032411		GO:0002224
GO:0043535		GO:0002221
GO:0010522		GO:0071347
GO:0001936		GO:0070555
GO:0010634		GO:0070227
GO:0002028		GO:0051403
GO:1903078		GO:0002755
GO:0001938		GO:0031098
GO:0045666		GO:0071356
GO:1901880		GO:0001961
GO:0051279		GO:0032757
GO:0032414		GO:0043123
GO:0021954		GO:0060760
GO:1902904		GO:0032732
GO:0007611		GO:0070265
GO:0019932		GO:0097300
GO:0045766		GO:0035094
GO:1904018		GO:0060544
GO:0090288		GO:0000186
GO:0070555		GO:0032677
GO:0050731		GO:0050856
GO:0090257		GO:0032088
GO:0007612		GO:1904591
GO:0050679		GO:0042307
GO:0010595		GO:0034612
GO:0050728		GO:0046326
GO:0014066		GO:0022602
GO:0061387		GO:0002718
GO:1903169		GO:0002479
GO:0007043		GO:1902042
GO:2000377		GO:0030888
GO:0050890		GO:0062098
GO:0050730		GO:0043507
GO:0034614		GO:0043122
GO:0006937		GO:0050852
GO:0030516		GO:0032651
GO:0051494		GO:0010828
GO:0030307		GO:0006968
GO:0010632		GO:0038093
GO:1903034		GO:1901222
GO:0043524		GO:0010660
GO:0050808		GO:0032481
GO:0050727		GO:0007254
GO:0042060		GO:0045089
GO:0042177		GO:0051091
GO:0048592		GO:0016239
GO:2001257		GO:0071222
GO:0038093		GO:0043280
GO:0051897		GO:0002711
GO:0000302		GO:1901224
GO:0019722		GO:0042590
GO:0007411		GO:0010939
GO:1901215		GO:0046330
GO:0097485		GO:2001056
GO:0034329		GO:0043506
GO:0010001		GO:0006919
GO:0050807		GO:0031349
GO:0001667		GO:0007257
GO:0051924		GO:0050851
GO:0090276		GO:0001959
GO:0002791		GO:0032652
GO:0051147		GO:0071219
GO:0010594		GO:0060759
GO:0090087		GO:0070932
GO:0050770		GO:0043154
GO:0006909		GO:0043281
GO:0050796		GO:0050854
GO:0045927		GO:0051353
GO:0010959		GO:0009612
GO:0032271		GO:1903557
GO:0032409		GO:0002702
GO:0050803		GO:0045088
GO:0008016		GO:2000116
GO:0008361		GO:0097194
GO:0032412		GO:0000187
GO:0050817		GO:0032728
GO:0044057		GO:2000117
GO:0007599		GO:0010830
GO:0007596		GO:0002833
GO:0046883		GO:0010950
GO:0051896		GO:0033619
GO:0051092		GO:0030183
GO:0031349		GO:0046324
GO:0022898		GO:0002709
GO:0048638		GO:0032874
GO:1903522		GO:0010952
GO:0007169		GO:0032755
GO:0034330		GO:0070304
GO:0009611		GO:0032648
GO:0006935		GO:0050830
GO:0001525		GO:0043525
GO:0042330		GO:0046651
GO:0007610		GO:0042102
GO:0050878		GO:0051090
GO:0090287		GO:0032760
GO:0032496		GO:0032675
GO:0048514		GO:0032943
GO:0070372		GO:1904589
GO:1905475		GO:0042306
GO:0051091		GO:0071216
GO:1903131		GO:0043124
GO:0031348		GO:0043433
GO:0000165		GO:0043406
GO:0030335		GO:0046824
GO:0032535		GO:1903322
GO:0051272		GO:0002253
GO:0050678		GO:0032479
GO:0001568		GO:0032103
GO:0001819		GO:0002429
GO:0002237		GO:0002757
GO:0032970		GO:0032480
GO:0071375		GO:0002700
GO:1902903		GO:0031398
GO:2000147		GO:0010827
GO:0010975		GO:0097191
GO:0032103		GO:0046328
GO:0090596		GO:0032496
GO:0002429		GO:0002768
GO:0002757		GO:0002764
GO:0001944		GO:0002831
GO:0040017		GO:0019221
GO:0090066		GO:2000379
GO:0061564		GO:0042698
GO:0050708		GO:1900182
GO:0008015		GO:0002824
GO:0120039		GO:0042113
GO:0030098		GO:1903555
GO:0018105		GO:0002237
GO:1904062		GO:0000165
GO:0002521		GO:0052548
GO:0048858		GO:1901216
GO:0031175		GO:0070661
GO:0007409		GO:0052547
GO:1901214		GO:0032872
GO:0032989		GO:0070665
GO:0048667		GO:0070663
GO:0042493		GO:0002821
GO:0031346		GO:0050864
GO:0048666		GO:0050670
GO:0032990		GO:0070302
GO:0050804		GO:0032944
GO:0099177		GO:0008630
GO:0048812		GO:0090398
GO:0007417		GO:0050671
GO:0048732		GO:0042742
GO:0030900		GO:0002705
GO:0018209		GO:0045824
GO:0000904		GO:0032680
GO:0001558		GO:0032946
GO:0001666		GO:0009617
GO:0043410		GO:0006977
GO:0120035		GO:0001819
GO:0007167		GO:0050673
GO:0032102		GO:0032147
GO:0046649		GO:0002708
GO:0034762		GO:0045862
GO:0010628		GO:0038127
GO:0002768		GO:1903312
GO:0002764		GO:0002698
GO:0032870		GO:0050870
GO:0045860		GO:0031347
GO:0033674		GO:0002706
